T107IPD0 110113195941.29                
CAMPIPD0 110113195941.50       43.93ISN1
SMA1IPD0 110113195942.10       45.40ISN1
T104IPD0 110113195942.21       45.34ISN2
T106IPD0 110113195943.14                
LNSSIPU0 110113195943.29       47.31ISN0
TEROIPU0 110113195943.58       47.79ISN2
FIAMIPU0 110113195944.03       48.69ISN1
FAGNEPD0 110113195944.81                
T110IPU0 110113195946.87       54.36ISN0
CESXEPU0 110113195948.37                
FDMOIPU0 110113195948.72       57.50ISN1
GUMAEPD0 110113195949.21       58.52ISN2
CESIEPU0 110113195949.25                
AT04IPU0 110113195956.55                
                 10                     
