CAMPIPD0 111128185649.93       52.66ISN1
LNSSIPU0 111128185650.94       54.70ISN2
AQT1IPD0 111128185651.11       54.74ISN1
T104IPU0 111128185651.49       55.79ISN2
TEROIPD0 111128185651.58       55.75ISN1
AQU IPD0 111128185651.78       56.12ISN2
NRCAIPU0 111128185652.40       57.22ISN1
FIAMIPU0 111128185653.13       58.78ISN2
FAGNIPD0 111128185653.94                
VCELEPU0 111128185655.36                
FDMOIPU0 111128185655.58       63.18ISN1
GUMAIPU0 111128185656.08       64.37ISN2
CESXEPU0 111128185656.12                
CESIIPU0 111128185656.17       64.50ISN2
OFFIIPU0 111128185656.20                
CSP1IPU0 111128185656.27       64.83ISN2
MOMAIPU0 111128185657.26                
TRTRIPU0 111128185657.26                
CERTIPU0 111128185658.60                
                 10                     
