CAMPIPU0 140604200137.60       40.04ISN2
AQU IPD0 140604200138.05                
SMA1EPU0 140604200138.35       41.57ISN2
LNSSEPU0 140604200138.99                
FIAMIPU0 140604200139.31       43.18ISN1
TEROIPU0 140604200139.90                
AQT1IPU0 140604200140.41       45.20ISN1
NRCAEPD0 140604200141.61       47.55ISN1
PTQRIPU0 140604200142.94                
CERTIPU0 140604200144.77                
FDMOIPD0 140604200145.18       54.38ISN1
MTCEIPU0 140604200145.15                
OFFIIPU0 140604200145.45       55.88ISN1
CESIEPD0 140604200145.47       54.87ISN1
GUMAIPU0 140604200145.69       55.32ISN1
CSP1EPU0 140604200145.89       55.73ISN2
SNTGEPD0 140604200149.48       62.04ISN2
                 10                     
